Date,Open,High,Low,Close,Volume
2015-11-26,42450,42750,41850,41950,666070
2015-11-27,41950,42100,41750,41800,706713
2015-11-30,41650,42000,40750,41450,1957693
2015-12-01,41400,41900,41100,41800,827639
2015-12-02,41900,41950,41100,41600,900536
2015-12-03,41950,41950,40550,40750,902233
2015-12-04,40500,40950,40300,40600,680327
2015-12-07,41150,41150,40400,40450,537979
2015-12-08,40700,40950,40200,40200,734178
2015-12-09,40500,40650,40000,40050,546220
2015-12-10,40200,41700,39600,41700,1098582
2015-12-11,41600,41600,40700,41150,782234
2015-12-14,41200,41400,40650,40650,857010
2015-12-15,41150,41500,40700,41500,837918
2015-12-16,42150,42200,41650,42150,750430
2015-12-17,42350,42400,41200,41350,723451
2015-12-18,41350,41800,40700,40700,955286
2015-12-21,40700,41200,40450,40750,697449
2015-12-22,40750,40850,40550,40600,563632
2015-12-23,40750,41150,40600,40900,1770031
2015-12-24,41000,41400,40950,41150,553805
2015-12-28,41200,41350,40300,40300,761396
2015-12-29,40000,40200,39650,40150,425758
2015-12-30,40200,40350,39500,39550,688533
2016-01-04,39000,39350,38550,39000,867834
2016-01-05,39300,39900,39050,39400,811435
2016-01-06,39050,39500,38750,39050,561106
2016-01-07,39000,39250,38550,38650,533086
2016-01-08,38000,39000,38000,38700,641090
2016-01-11,38450,38750,38200,38200,600756
2016-01-12,38300,38700,38300,38500,690391
2016-01-13,38850,39050,38500,38900,643406
2016-01-14,38500,38550,37900,38400,937579
2016-01-15,38400,38550,36800,37100,1180892
2016-01-18,36650,38050,36600,37750,923268
2016-01-19,37550,37700,36650,36950,794007
2016-01-20,36800,37350,36000,36100,644095
2016-01-21,36200,37050,36200,36600,778649
2016-01-22,36700,37750,36700,37550,887662
2016-01-25,37750,38400,37550,37650,772328
2016-01-26,37650,37700,36400,37400,619222
2016-01-27,37500,38050,37500,37850,674355
2016-01-28,37150,38700,37100,38700,808728
2016-01-29,38000,38600,37850,38600,938293
2016-02-01,38250,39150,38250,39100,725955
2016-02-02,38500,38850,38000,38000,624612
2016-02-03,37400,37600,36800,36800,875163
2016-02-04,36800,38400,36800,38150,878535
2016-02-05,38550,40250,38500,39650,1928479
2016-02-11,37850,38950,37850,38650,1040746
2016-02-12,38000,38900,37350,38650,1681785
2016-02-15,39100,40150,38400,40000,1566830
2016-02-16,39750,40100,38950,39950,665206
2016-02-17,39700,40850,39550,40600,934119
2016-02-18,40650,41000,39800,40000,1141173
2016-02-19,39800,40350,39000,39750,795714
2016-02-22,39300,39700,38950,39000,803287
2016-02-23,39300,39450,38750,39050,939032
2016-02-24,39000,39300,38750,39300,454315
2016-02-25,38950,39550,38500,39000,781986
2016-02-26,38950,39150,38700,38850,804761
2016-02-29,38750,39100,37950,37950,1171526
2016-03-02,38800,39000,38150,38300,1573621
2016-03-03,39000,39000,38500,38650,1034356
2016-03-04,38950,39800,38900,39150,1278520
2016-03-07,39700,40300,39600,39800,1193951
2016-03-08,39650,40150,39350,40000,859617
2016-03-09,40050,40100,39400,40050,504553
2016-03-10,40050,40400,39700,40100,1001679
2016-03-11,40150,41000,40100,40750,1013430
2016-03-14,41600,41750,41000,41150,723913
2016-03-15,41350,41350,40550,40800,392004
2016-03-16,41000,41600,40850,41350,625065
2016-03-17,41600,41750,41250,41600,937650
2016-03-18,41650,41900,41300,41750,1037434
2016-03-21,41100,41950,41100,41900,711369
2016-03-22,41850,41900,41050,41600,918038
2016-03-23,41250,41500,40900,41350,860722
2016-03-24,41000,41600,40950,41550,831757
2016-03-25,41000,41500,40800,41300,553799
2016-03-28,41000,41300,40750,41100,458815
2016-03-29,41000,41600,40900,41250,673825
2016-03-30,40650,40750,40000,40500,976414
2016-03-31,40100,40500,39950,40500,1611574
2016-04-01,40300,40400,39500,39900,1199245
2016-04-04,40250,40250,39650,39750,722242
2016-04-05,39750,39900,39400,39750,835987
2016-04-06,40200,40350,39100,39350,1027735
2016-04-07,39800,40000,39500,40000,776491
2016-04-08,39750,39750,39100,39450,743537
2016-04-11,39250,39900,39050,39900,593312
2016-04-12,39900,40000,39350,39800,602631
2016-04-14,40600,42100,40500,42100,3245943
2016-04-15,42500,42500,41400,41750,1440219
2016-04-18,41050,42300,41050,41950,1218869
2016-04-19,42200,42850,42200,42600,996464
2016-04-20,43000,43150,42550,42900,731737
2016-04-21,43100,43200,42600,42900,730533
2016-04-22,42800,43150,42450,42750,886292
2016-04-25,42750,42800,42000,42300,693240
2016-04-26,41200,42100,41050,41900,977765
2016-04-27,41900,42750,41800,42750,1011704
2016-04-28,43050,43050,42000,42350,1161933
2016-04-29,41750,41850,41400,41800,714692
2016-05-02,41400,41500,40350,40500,808634
2016-05-03,40550,40700,40200,40450,611120
2016-05-04,39900,40250,39800,40200,966936
2016-05-09,39400,39850,39400,39550,908695
