Date,Open,High,Low,Close,Volume
2011-03-14,11860,12360,11800,12360,545350
2011-03-15,12240,12300,11920,11980,1239150
2011-03-16,12020,12360,11980,12000,1539250
2011-03-17,11860,11940,11720,11880,844250
2011-03-18,11880,11960,11700,11900,914150
2011-03-21,11900,11900,11780,11900,524400
2011-03-22,11900,11920,11720,11900,771100
2011-03-23,11840,11900,11700,11900,844250
2011-03-24,11880,11960,11860,11960,1882950
2011-03-25,12100,12360,12020,12360,1094850
2011-03-28,12300,12420,12240,12320,556850
2011-03-29,12260,12260,12120,12200,663750
2011-03-30,12240,12440,12240,12440,1769700
2011-03-31,12360,12500,12320,12500,1120050
2011-04-01,12560,12740,12400,12740,1686700
2011-04-04,12720,12760,12520,12760,967300
2011-04-05,12700,12740,12460,12680,1137950
2011-04-06,12560,12640,12460,12600,1142200
2011-04-07,12600,12680,12420,12600,1350550
2011-04-08,12620,12620,12360,12440,1869900
2011-04-11,12240,12460,12220,12460,1988650
2011-04-12,12300,12420,12280,12300,347600
2011-04-13,12380,12540,12300,12540,533300
2011-04-14,12600,12600,12460,12600,819200
2011-04-15,12600,12640,12420,12500,827600
2011-04-18,12520,12540,12200,12240,366500
2011-04-19,12200,12320,12020,12320,1658450
2011-04-20,12400,12540,12360,12520,1435350
2011-04-21,12580,12600,12400,12520,501150
2011-04-22,12560,12580,12140,12160,602800
2011-04-25,12200,12240,12080,12120,353750
2011-04-26,12260,12260,12080,12240,773000
2011-04-27,12240,12580,12200,12580,1468850
2011-04-28,12580,12580,12380,12500,890950
2011-04-29,12540,12600,12380,12600,1244150
2011-05-02,12600,12860,12600,12840,1123300
2011-05-03,12720,12880,12700,12840,974700
2011-05-04,12740,12860,12600,12700,1723250
2011-05-06,12580,12640,12520,12580,1659700
2011-05-09,12520,12600,12520,12600,865450
2011-05-11,12480,12600,12400,12580,1247600
2011-05-12,12440,12660,12440,12520,907700
2011-05-13,12460,12840,12460,12600,2343100
2011-05-16,12620,12660,12360,12360,1159200
2011-05-17,12300,12360,12180,12240,320000
2011-05-18,12200,12340,12200,12260,636450
2011-05-19,12300,12300,12000,12000,328200
2011-05-20,12000,12000,11760,11860,1324450
2011-05-23,11860,11900,11740,11840,182700
2011-05-24,11780,11840,11600,11600,678450
2011-05-25,11700,11840,11680,11700,988750
2011-05-26,11700,11900,11640,11840,565150
2011-05-27,11880,11960,11800,11900,708000
2011-05-30,11840,11900,11700,11780,538900
2011-05-31,11780,12040,11780,11960,1382850
2011-06-01,12000,12020,11900,11980,322350
2011-06-02,11780,11980,11720,11880,670300
2011-06-03,11940,11940,11740,11800,428500
2011-06-07,11800,11800,11660,11720,537100
2011-06-08,11760,12000,11660,11840,2318900
2011-06-09,11980,12060,11780,11800,1875900
2011-06-10,11980,12040,11860,11920,1147950
2011-06-13,11660,11820,11640,11780,165750
2011-06-14,11820,12000,11680,12000,463550
2011-06-15,11860,11980,11820,11980,767750
2011-06-16,11940,11940,11840,11880,1312950
2011-06-17,11800,11860,11380,11700,1843850
2011-06-20,11580,11600,11200,11200,1059900
2011-06-21,11140,11320,11140,11300,790850
2011-06-22,11380,11460,11340,11440,895650
2011-06-23,11480,11540,11400,11460,426300
2011-06-24,11340,11600,11300,11560,1016050
2011-06-27,11440,11480,11100,11120,1372150
2011-06-28,11220,11320,11080,11080,720600
2011-06-29,11200,11280,11040,11080,977100
2011-06-30,10980,11200,10920,11200,1356150
2011-07-01,11200,11500,11200,11500,1070650
2011-07-04,11600,11880,11540,11760,1207900
2011-07-05,11820,12080,11740,12080,1136700
2011-07-06,12000,12100,11900,12100,456200
2011-07-07,12060,12100,12000,12060,1233550
2011-07-08,12060,12140,12000,12060,815850
2011-07-11,12040,12180,11900,12120,608050
2011-07-12,11960,12060,11840,11960,708750
2011-07-13,11940,11940,11740,11860,376700
2011-07-14,11800,11800,11280,11400,667600
2011-07-15,11320,11480,11280,11420,1933750
2011-07-18,11300,11320,11180,11180,664300
2011-07-19,11040,11200,11040,11180,745500
2011-07-20,11280,11460,11280,11400,970300
2011-07-21,11400,11400,11300,11380,365750
2011-07-22,11420,11500,11380,11420,640050
2011-07-25,11360,11380,11020,11380,738850
2011-07-26,11280,11420,11260,11400,456750
2011-07-27,11360,11440,11260,11260,537000
2011-07-28,11060,11360,11060,11320,253400
2011-07-29,11320,11360,11240,11240,439550
2011-08-01,11400,11600,11220,11580,1227750
2011-08-02,11600,11620,11400,11460,814900
2011-08-03,11380,11400,11080,11160,257950
2011-08-04,11300,11300,10980,11060,493750
2011-08-05,10780,10880,10660,10660,590500
2011-08-08,10660,10660,10260,10260,716200
2011-08-09,10020,10120,9370,9580,1133300
2011-08-10,10080,10100,9810,9880,1428900
2011-08-11,9200,9850,9200,9800,982800
2011-08-12,9780,9960,9690,9760,1049250
2011-08-16,10040,10300,9970,10300,1543250
2011-08-17,10100,10300,10040,10220,837500
2011-08-18,10360,10360,9910,10040,1032100
2011-08-19,9450,9900,9450,9760,845150
2011-08-22,9760,9880,9590,9800,715450
2011-08-23,10000,10240,9800,9980,755550
2011-08-24,9730,10160,9730,9920,1633250
2011-08-25,10220,10380,10180,10280,987950
2011-08-26,10280,10360,10160,10360,385250
2011-08-29,10540,10560,10120,10400,493000
2011-08-30,10480,10740,10400,10640,415900
